"産業分類","事業所数","セルフサービス方式採用事業所数","従業者数（人）","従業者数（人）_うち男","従業者数（人）_うち女","個人事業主・無給家族従業者数（人）","個人事業主・無給家族従業者数（人）_うち男","個人事業主・無給家族従業者数（人）_うち女","有給役員（人）","有給役員（人）_うち男","有給役員（人）_うち女","常用雇用者_正社員・正職員数（人）","常用雇用者_正社員・正職員数（人）_うち男","常用雇用者_正社員・正職員数（人）_うち女","_パート・アルバイト等の数（人）","_パート・アルバイト等の数（人）_うち男","_パート・アルバイト等の数（人）_うち女","臨時雇用者数（人）","臨時雇用者数（人）_うち男","臨時雇用者数（人）_うち女","従業者・臨時雇用者のうち他への派遣従業者（人）","従業者・臨時雇用者のうち他への派遣従業者（人）_うち男","従業者・臨時雇用者のうち他への派遣従業者（人）_うち女","他からの派遣従業者数（人）","他からの派遣従業者数（人）_うち男","他からの派遣従業者数（人）_うち女","就業者数（人）","就業者数（人）_うち男","就業者数（人）_うち女","ﾊﾟｰﾄ･ｱﾙﾊﾞｲﾄなどの8時間換算雇用者数（人）","年間商品販売額　（万円）","その他の収入額（万円）","売場面積　（㎡）","１事業所当たり年間商品販売額　（万円）"
"県計","10568.0","949.0","61877.0","29920.0","31957.0","8786.0","5057.0","3729.0","4229.0","2822.0","1407.0","22376.0","14933.0","7443.0","26486.0","7108.0","19378.0","2688.0","1046.0","1642.0","86.0","48.0","38.0","877.0","384.0","493.0","65356.0","31302.0","34054.0","17698.0","1.82422998E8","4926628.0","1146116.0","17262.0"
"卸売業計","2111.0","0.0","14687.0","9470.0","5217.0","989.0","669.0","320.0","1837.0","1285.0","553.0","8419.0","6271.0","2148.0","3442.0","1245.0","2197.0","385.0","212.0","173.0","41.0","33.0","8.0","683.0","267.0","416.0","15714.0","9916.0","5798.0","2517.0","9.5932996E7","1542379.0","0.0","45444.0"
"50_各種商品卸売業","5.0","0.0","20.0","17.0","3.0","3.0","3.0","0.0","5.0","3.0","2.0","11.0","10.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","17.0","3.0","1.0","37784.0","3471.0","0.0","7557.0"
"501_各種商品卸売業","5.0","0.0","20.0","17.0","3.0","3.0","3.0","0.0","5.0","3.0","2.0","11.0","10.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","17.0","3.0","1.0","37784.0","3471.0","0.0","7557.0"
"51_繊維・衣服等卸売業","79.0","0.0","418.0","210.0","208.0","39.0","23.0","16.0","88.0","58.0","30.0","182.0","106.0","76.0","109.0","23.0","86.0","11.0","4.0","7.0","4.0","4.0","0.0","1.0","1.0","0.0","426.0","211.0","215.0","86.0","1334999.0","6902.0","0.0","16899.0"
"511_繊維品卸売業（衣服，身の回り品を除く）","16.0","0.0","54.0","28.0","26.0","7.0","3.0","4.0","20.0","14.0","6.0","12.0","7.0","5.0","15.0","4.0","11.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","55.0","28.0","27.0","8.0","138744.0","1630.0","0.0","8672.0"
"512_衣服卸売業","21.0","0.0","135.0","65.0","70.0","12.0","7.0","5.0","31.0","17.0","14.0","58.0","33.0","25.0","34.0","8.0","26.0","3.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","138.0","65.0","73.0","30.0","368050.0","3153.0","0.0","17526.0"
"513_身の回り品卸売業","42.0","0.0","229.0","117.0","112.0","20.0","13.0","7.0","37.0","27.0","10.0","112.0","66.0","46.0","60.0","11.0","49.0","7.0","4.0","3.0","4.0","4.0","0.0","1.0","1.0","0.0","233.0","118.0","115.0","48.0","828205.0","2119.0","0.0","19719.0"
"52_飲食料品卸売業","631.0","0.0","4957.0","2897.0","2060.0","402.0","266.0","136.0","514.0","376.0","138.0","2175.0","1563.0","612.0","1866.0","692.0","1174.0","227.0","121.0","106.0","4.0","2.0","2.0","482.0","120.0","362.0","5662.0","3136.0","2526.0","1289.0","2.4238E7","145832.0","0.0","38412.0"
"521_農畜産物・水産物卸売業","373.0","0.0","3159.0","1886.0","1273.0","246.0","165.0","81.0","330.0","241.0","89.0","1241.0","904.0","337.0","1342.0","576.0","766.0","172.0","82.0","90.0","3.0","2.0","1.0","14.0","14.0","0.0","3342.0","1980.0","1362.0","929.0","1.4954786E7","38015.0","0.0","40093.0"
"522_食料・飲料卸売業","258.0","0.0","1798.0","1011.0","787.0","156.0","101.0","55.0","184.0","135.0","49.0","934.0","659.0","275.0","524.0","116.0","408.0","55.0","39.0","16.0","1.0","0.0","1.0","468.0","106.0","362.0","2320.0","1156.0","1164.0","360.0","9283214.0","107817.0","0.0","35981.0"
